longitude,latitude,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxtpx_TrackPointExtension
-77.046001,38.874722,0,0,68,2.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.04586,38.874673,0,0,69,3,,,,,,,,,,,,,,,,,,,,,,,        
-77.045735,38.874634,0,0,70,3.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.045678,38.874626,0,0,71,3.1,,,,,,,,,,,,,,,,,,,,,,,        
-77.045598,38.874631,0,0,72,3,,,,,,,,,,,,,,,,,,,,,,,        
-77.045498,38.874647,0,0,73,2.9,,,,,,,,,,,,,,,,,,,,,,,        
-77.045412,38.874665,0,0,74,2.7,,,,,,,,,,,,,,,,,,,,,,,        
-77.045338,38.874667,0,0,75,2.7,,,,,,,,,,,,,,,,,,,,,,,        
-77.045272,38.87466,0,0,76,2.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.045135,38.874621,0,0,77,2.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.044267,38.874338,0,0,78,2.9,,,,,,,,,,,,,,,,,,,,,,,        
-77.043925,38.874189,0,0,79,2.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.043791,38.874104,0,0,80,2.5,,,,,,,,,,,,,,,,,,,,,,,        
-77.043584,38.873949,0,0,81,2.1,,,,,,,,,,,,,,,,,,,,,,,        
-77.043511,38.873891,0,0,82,2,,,,,,,,,,,,,,,,,,,,,,,        
-77.043381,38.873782,0,0,83,1.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.043248,38.873651,0,0,84,1.7,,,,,,,,,,,,,,,,,,,,,,,        
-77.041562,38.871896,0,0,85,1.3,,,,,,,,,,,,,,,,,,,,,,,        
-77.041287,38.871681,0,0,86,1.1,,,,,,,,,,,,,,,,,,,,,,,        
-77.040878,38.871435,0,0,87,0.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.040703,38.871307,0,0,88,0.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.040703,38.871307,0,0,89,0.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.040671,38.871332,0,0,90,8.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.040583,38.871249,0,0,91,8.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.040547,38.8712,0,0,92,8.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.040431,38.871017,0,0,93,8.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.040342,38.87088,0,0,94,7.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.040265,38.870726,0,0,95,7.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.040232,38.870676,0,0,96,7.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.039969,38.870345,0,0,97,8.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.03969,38.869981,0,0,98,8.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.039516,38.869738,0,0,99,8.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.039458,38.869632,0,0,100,8.8,,,,,,,,,,,,,,,,,,,,,,,        
-77.03937,38.869469,0,0,101,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.039213,38.869127,0,0,102,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.039176,38.869009,0,0,103,9.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.038942,38.868542,0,0,104,9.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.03868,38.868007,0,0,105,9.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.038482,38.867463,0,0,106,9.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.038299,38.867058,0,0,107,9.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.038129,38.866582,0,0,108,9.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.03806,38.866282,0,0,109,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.038029,38.866101,0,0,110,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.038026,38.866039,0,0,111,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.038056,38.865858,0,0,112,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.038078,38.865801,0,0,113,9,,,,,,,,,,,,,,,,,,,,,,,        
-77.03819,38.865586,0,0,114,9.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.03827,38.865493,0,0,115,9.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.038507,38.865307,0,0,116,10,,,,,,,,,,,,,,,,,,,,,,,        
-77.038555,38.865277,0,0,117,10.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.03869,38.865188,0,0,118,10.6,,,,,,,,,,,,,,,,,,,,,,,        
-77.03884,38.865114,0,0,119,11,,,,,,,,,,,,,,,,,,,,,,,        
-77.038937,38.865065,0,0,120,11.2,,,,,,,,,,,,,,,,,,,,,,,        
-77.039102,38.865006,0,0,121,11.4,,,,,,,,,,,,,,,,,,,,,,,        
-77.039236,38.864994,0,0,122,11.4,,,,,,,,,,,,,,,,,,,,,,,        
